,start_date,country,region,subregion,oxford_government_response_category,C1_School closing,C1_Flag,C2_Workplace closing,C2_Flag,C3_Cancel public events,C3_Flag,C4_Restrictions on gathering,C4_Flag,C5_Closed public transport,C5_Flag,C6_Stay at home requirements,C6_Flag,C7_Restrictions on internal movement,C7_Flag,C8_International travel controls,E1_Income Support,E1_Flag,E2_Debt/contract relief,E3_Fiscal measures,E4_International support,H1_Public information campaigns,H1_Flag,H2_Testing policy,H3_Contact tracing,H4_Emergency investment in healthcare,H5_Investment in vaccines,M1_Wildcard,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,LegacyStringencyIndex,LegacyStringencyIndexForDisplay
981,2020-04-17,Canada,British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,2020-04-18,Canada,British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,2020-04-19,Canada,British Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512,2020-01-28,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513,2020-01-28,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511,2020-01-31,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510,2020-02-07,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509,2020-02-13,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2508,2020-02-20,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507,2020-02-27,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2506,2020-02-28,Canada,Manitoba,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2505,2020-03-05,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504,2020-03-10,Canada,Manitoba,,H4_Emergency investment in healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2020-03-12,Canada,Manitoba,Winnipeg,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,2020-03-12,Canada,Manitoba,Winnipeg,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499,2020-03-12,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500,2020-03-12,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2501,2020-03-12,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502,2020-03-12,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503,2020-03-12,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,2020-03-13,Canada,Manitoba,Winnipeg,C3_Cancel public events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497,2020-03-13,Canada,Manitoba,,C1_School closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498,2020-03-13,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,2020-03-14,Canada,Manitoba,Winnipeg,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,2020-03-14,Canada,Manitoba,Winnipeg,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2496,2020-03-14,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493,2020-03-15,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494,2020-03-15,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495,2020-03-15,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,2020-03-16,Canada,Manitoba,Winnipeg,C3_Cancel public events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,2020-03-16,Canada,Manitoba,Winnipeg,C3_Cancel public events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,2020-03-17,Canada,Manitoba,Winnipeg,C3_Cancel public events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,2020-03-17,Canada,Manitoba,Winnipeg,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2486,2020-03-17,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2487,2020-03-17,Canada,Manitoba,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2488,2020-03-17,Canada,Manitoba,,C4_Restrictions on gathering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2489,2020-03-17,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2490,2020-03-17,Canada,Manitoba,,H4_Emergency investment in healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2491,2020-03-17,Canada,Manitoba,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2492,2020-03-17,Canada,Manitoba,,C1_School closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,2020-03-18,Canada,Manitoba,Winnipeg,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,2020-03-18,Canada,Manitoba,Winnipeg,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,2020-03-18,Canada,Manitoba,Winnipeg,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485,2020-03-18,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,2020-03-19,Canada,Manitoba,Winnipeg,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,2020-03-19,Canada,Manitoba,Winnipeg,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,2020-03-20,Canada,Manitoba,Winnipeg,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481,2020-03-20,Canada,Manitoba,,H4_Emergency investment in healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482,2020-03-20,Canada,Manitoba,,C3_Cancel public events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483,2020-03-20,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484,2020-03-20,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,2020-03-21,Canada,Manitoba,Winnipeg,C3_Cancel public events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2479,2020-03-21,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2480,2020-03-21,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477,2020-03-23,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478,2020-03-23,Canada,Manitoba,,H4_Emergency investment in healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,2020-03-24,Canada,Manitoba,Winnipeg,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476,2020-03-25,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,2020-03-27,Canada,Manitoba,Winnipeg,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,2020-03-27,Canada,Manitoba,Winnipeg,C3_Cancel public events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,2020-03-27,Canada,Manitoba,Winnipeg,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,2020-03-27,Canada,Manitoba,Winnipeg,C4_Restrictions on gathering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,2020-03-27,Canada,Manitoba,Winnipeg,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472,2020-03-27,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473,2020-03-27,Canada,Manitoba,,C4_Restrictions on gathering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2474,2020-03-27,Canada,Manitoba,,H4_Emergency investment in healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475,2020-03-27,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,2020-03-28,Canada,Manitoba,Winnipeg,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470,2020-03-30,Canada,Manitoba,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2471,2020-03-30,Canada,Manitoba,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469,2020-03-31,Canada,Manitoba,,C1_School closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466,2020-04-01,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467,2020-04-01,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468,2020-04-01,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2464,2020-04-02,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465,2020-04-02,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,2020-04-03,Canada,Manitoba,Winnipeg,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,2020-04-03,Canada ,Manitoba,Winnipeg,S8 Fiscal measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,2020-04-03,Canada,Manitoba,Winnipeg,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2459,2020-04-03,Canada,Manitoba,,S8 Fiscal measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2460,2020-04-03,Canada,Manitoba,,H4_Emergency investment in healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461,2020-04-03,Canada,Manitoba,,S8 Fiscal measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462,2020-04-03,Canada,Manitoba,,S8 Fiscal measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2463,2020-04-03,Canada,Manitoba,,H4_Emergency investment in healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457,2020-04-04,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458,2020-04-04,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454,2020-04-05,Canada,Manitoba,,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455,2020-04-05,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456,2020-04-05,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451,2020-04-06,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452,2020-04-06,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453,2020-04-06,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446,2020-04-07,Canada,Manitoba,,S8 Fiscal measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2447,2020-04-07,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448,2020-04-07,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449,2020-04-07,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2450,2020-04-07,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2438,2020-04-08,Canada,Manitoba,,H5_Investment in vaccines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2439,2020-04-08,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,2020-04-08,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,2020-04-08,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442,2020-04-08,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,2020-04-08,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,2020-04-08,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445,2020-04-08,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,2020-04-09,Canada,Manitoba,Winnipeg,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2430,2020-04-09,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2431,2020-04-09,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2432,2020-04-09,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2433,2020-04-09,Canada,Manitoba,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2434,2020-04-09,Canada,Manitoba,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2435,2020-04-09,Canada,Manitoba,,C4_Restrictions on gathering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2436,2020-04-09,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2437,2020-04-09,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2428,2020-04-10,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2429,2020-04-10,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2425,2020-04-11,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2426,2020-04-11,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2427,2020-04-11,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2424,2020-04-12,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2418,2020-04-13,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2419,2020-04-13,Canada,Manitoba,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2420,2020-04-13,Canada,Manitoba,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,2020-04-13,Canada,Manitoba,,C4_Restrictions on gathering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2422,2020-04-13,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2423,2020-04-13,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,2020-04-14,Canada,Manitoba,Winnipeg,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2416,2020-04-14,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2417,2020-04-14,Canada,Manitoba,,H4_Emergency investment in healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,2020-04-15,Canada,Manitoba,Winnipeg,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2407,2020-04-15,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2408,2020-04-15,Canada,Manitoba,,H4_Emergency investment in healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2409,2020-04-15,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2410,2020-04-15,Canada,Manitoba,,S8 Fiscal measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2411,2020-04-15,Canada,Manitoba,,S8 Fiscal measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2412,2020-04-15,Canada,Manitoba,,H4_Emergency investment in healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2413,2020-04-15,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2414,2020-04-15,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2415,2020-04-15,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,2020-04-16,Canada,Manitoba,Winnipeg,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2403,2020-04-16,Canada,Manitoba,,H2_Testing policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2404,2020-04-16,Canada,Manitoba,,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2405,2020-04-16,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2406,2020-04-16,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2400,2020-04-17,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2401,2020-04-17,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2402,2020-04-17,Canada,Manitoba,,S8 Fiscal measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2399,2020-04-18,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2398,2020-04-19,Canada,Manitoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1645,2020-03-01,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1646,2020-03-05,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1647,2020-03-09,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1648,2020-03-11,Canada,New Brunswick,,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649,2020-03-12,Canada,New Brunswick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1650,2020-03-12,Canada,New Brunswick,,C4_Restrictions on gathering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1651,2020-03-13,Canada ,New Brunswick,,C1_School closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1652,2020-03-16,Canada,New Brunswick,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1653,2020-03-16,Canada,New Brunswick,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1654,2020-03-16,Canada,New Brunswick,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1655,2020-03-16,Canada,New Brunswick,,C1_School closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1656,2020-03-16,Canada,New Brunswick,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1657,2020-03-17,Canada,New Brunswick,,H4_Emergency investment in healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1658,2020-03-17,Canada,New Brunswick,,C3_Cancel public events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1659,2020-03-17,Canada,New Brunswick,,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1660,2020-03-17,Canada,New Brunswick,,H2_Testing policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1661,2020-03-18,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1662,2020-03-18,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1663,2020-03-18,Canada,New Brunswick,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1664,2020-03-18,Canada,New Brunswick,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1665,2020-03-18,Canada,New Brunswick,,S8 Fiscal measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1666,2020-03-18,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1667,2020-03-18,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1668,2020-03-19,Canada,New Brunswick,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1669,2020-03-19,Canada,New Brunswick,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1670,2020-03-19,Canada,New Brunswick,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1671,2020-03-19,Canada,New Brunswick,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1672,2020-03-19,Canada,New Brunswick,,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1673,2020-03-19,Canada,New Brunswick,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1674,2020-03-19,Canada,New Brunswick,,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1675,2020-03-19,Canada,New Brunswick,,C4_Restrictions on gathering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1676,2020-03-19,Canada,New Brunswick,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1677,2020-03-19,Canada,New Brunswick,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1678,2020-03-19,Canada,New Brunswick,,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1679,2020-03-19,Canada,New Brunswick,,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680,2020-03-19,Canada,New Brunswick,,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1681,2020-03-19,Canada,New Brunswick,,S8 Fiscal measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1682,2020-03-20,Canada,New Brunswick,,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1683,2020-03-20,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1684,2020-03-20,Canada,New Brunswick,,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1685,2020-03-20,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1686,2020-03-20,Canada,New Brunswick,,S8 Fiscal measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1687,2020-03-20,Canada,New Brunswick,,S8 Fiscal measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688,2020-03-20,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689,2020-03-20,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690,2020-03-20,Canada,New Brunswick,,C2_Workplace closing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1691,2020-03-20,Canada,New Brunswick,,S9 Monetary measures (interest rate),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1692,2020-03-20,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1693,2020-03-20,Canada,New Brunswick,,S8 Fiscal measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1694,2020-03-20,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1695,2020-03-20,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1696,2020-03-20,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1697,2020-03-20,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1698,2020-03-21,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1699,2020-03-21,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1700,2020-03-21,Canada,New Brunswick,,H4_Emergency investment in healthcare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1701,2020-03-21,Canada,New Brunswick,,C8_International travel controls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1702,2020-03-21,Canada,New Brunswick,,C8_International travel controls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1703,2020-03-21,Canada,New Brunswick,,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1704,2020-03-22,Canada,New Brunswick,,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1705,2020-03-22,Canada,New Brunswick,,C8_International travel controls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706,2020-03-22,Canada,New Brunswick,,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1707,2020-03-23,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1708,2020-03-23,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1709,2020-03-23,Canada,New Brunswick,,C7_Restrictions on internal movement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1710,2020-03-23,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1711,2020-03-24,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1712,2020-03-25,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1713,2020-03-25,Canada,New Brunswick,,H1_Public information campaigns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
